unnamed:_0,player,matches,overs,balls,wkts,avg,runs,4-fers,5-fers,year,wickets_per_match,economy_rate
1,Harshal Patel,14,49.0,294,24,19.88,477,-,-,2024,1.7142857142857142,9.73469387755102
2,Varun Chakaravarthy,14,50.0,300,21,19.14,402,-,-,2024,1.5,8.04
3,Jasprit Bumrah,13,51.5,311,20,16.8,336,-,1,2024,1.5384615384615385,6.524271844660194
4,T Natarajan,14,51.2,308,19,24.47,465,1,-,2024,1.3571428571428572,9.08203125
5,Harshit Rana,12,42.1,253,19,20.16,383,-,-,2024,1.5833333333333333,9.097387173396674
6,Avesh Khan,15,54.5,329,19,27.68,526,-,-,2024,1.2666666666666666,9.65137614678899
7,Arshdeep Singh,14,50.2,302,19,26.58,505,1,-,2024,1.3571428571428572,10.059760956175298
8,Andre Russell,14,29.2,176,19,15.53,295,-,-,2024,1.3571428571428572,10.102739726027398
9,Pat Cummins,16,61.0,366,18,31.44,566,-,-,2024,1.125,9.278688524590164
10,Yuzvendra Chahal,15,58.0,348,18,30.33,546,-,-,2024,1.2,9.413793103448276
11,Sunil Narine,14,55.0,330,17,21.65,368,-,-,2024,1.2142857142857142,6.6909090909090905
12,Tushar Deshpande,13,48.0,288,17,24.94,424,1,-,2024,1.3076923076923077,8.833333333333334
13,Khaleel Ahmed,14,50.0,300,17,28.18,479,-,-,2024,1.2142857142857142,9.58
14,Mukesh Kumar,10,35.3,213,17,21.65,368,-,-,2024,1.7,10.424929178470256
15,Mitchell Starc,13,41.5,251,17,26.12,444,1,-,2024,1.3076923076923077,10.698795180722891
1,Noor Ahmad,5,18.0,108,11,13.64,150,1,-,2025,2.2,8.333333333333334
2,Ravisrinivasan Sai Kishore,5,18.2,110,10,13.3,133,-,-,2025,2.0,7.307692307692308
3,Mohammed Siraj,5,20.0,120,10,15.4,154,1,-,2025,2.0,7.7
4,Khaleel Ahmed,5,20.0,120,10,16.5,165,-,-,2025,2.0,8.25
5,Hardik Pandya,4,14.0,84,10,12.0,120,-,1,2025,2.5,8.571428571428571
6,Mitchell Starc,3,11.4,70,9,11.56,104,-,1,2025,3.0,9.12280701754386
7,Shardul Thakur,5,17.0,102,9,20.44,184,1,-,2025,1.8,10.823529411764707
8,Prasidh Krishna,5,19.0,114,8,16.75,134,-,-,2025,1.6,7.052631578947368
9,Josh Hazlewood,4,15.5,95,8,15.38,123,-,-,2025,2.0,7.935483870967742
10,Digvesh Singh Rathi,5,20.0,120,7,22.14,155,-,-,2025,1.4,7.75
11,Krunal Pandya,4,13.0,78,7,19.14,134,1,-,2025,1.75,10.307692307692308
12,Kuldeep Yadav,3,12.0,72,6,12.0,72,-,-,2025,2.0,6.0
13,Varun Chakaravarthy,5,19.0,114,6,20.83,125,-,-,2025,1.2,6.578947368421052
14,Vignesh Puthur,4,11.0,66,6,15.67,94,-,-,2025,1.5,8.545454545454545
15,Vaibhav Arora,4,15.0,90,6,23.17,139,-,-,2025,1.5,9.266666666666667
