feature,dtype,missing_values,generated_at
team,object,0,2025-04-19 03:11:57.605878
player_name,object,0,2025-04-19 03:11:57.605878
player_type,object,0,2025-04-19 03:11:57.605878
batting_t20_m,object,0,2025-04-19 03:11:57.605878
batting_t20_inn,float64,0,2025-04-19 03:11:57.605878
batting_t20_runs,float64,0,2025-04-19 03:11:57.605878
batting_t20_bf,float64,0,2025-04-19 03:11:57.605878
batting_t20_hs,float64,0,2025-04-19 03:11:57.605878
batting_t20_avg,float64,0,2025-04-19 03:11:57.605878
batting_t20_sr,float64,0,2025-04-19 03:11:57.605878
batting_t20_no,float64,0,2025-04-19 03:11:57.605878
batting_t20_4s,float64,0,2025-04-19 03:11:57.605878
batting_t20_6s,float64,0,2025-04-19 03:11:57.605878
batting_t20_50,float64,0,2025-04-19 03:11:57.605878
batting_t20_100,float64,0,2025-04-19 03:11:57.605878
batting_t20_200,float64,0,2025-04-19 03:11:57.605878
bowling_t20_m,float64,0,2025-04-19 03:11:57.605878
bowling_t20_inn,float64,0,2025-04-19 03:11:57.605878
bowling_t20_b,float64,0,2025-04-19 03:11:57.605878
bowling_t20_runs,float64,0,2025-04-19 03:11:57.605878
bowling_t20_wkts,float64,0,2025-04-19 03:11:57.605878
bowling_t20_avg,float64,0,2025-04-19 03:11:57.605878
bowling_t20_econ,float64,0,2025-04-19 03:11:57.605878
bowling_t20_sr,float64,0,2025-04-19 03:11:57.605878
bowling_t20_bbi,object,0,2025-04-19 03:11:57.605878
bowling_t20_bbm,object,0,2025-04-19 03:11:57.605878
bowling_t20_5w,float64,0,2025-04-19 03:11:57.605878
bowling_t20_10w,float64,0,2025-04-19 03:11:57.605878
batting_ipl_m,float64,0,2025-04-19 03:11:57.605878
batting_ipl_inn,float64,0,2025-04-19 03:11:57.605878
batting_ipl_runs,float64,0,2025-04-19 03:11:57.605878
batting_ipl_bf,float64,0,2025-04-19 03:11:57.605878
batting_ipl_hs,float64,0,2025-04-19 03:11:57.605878
batting_ipl_avg,float64,0,2025-04-19 03:11:57.605878
batting_ipl_sr,float64,0,2025-04-19 03:11:57.605878
batting_ipl_no,float64,0,2025-04-19 03:11:57.605878
batting_ipl_4s,float64,0,2025-04-19 03:11:57.605878
batting_ipl_6s,float64,0,2025-04-19 03:11:57.605878
batting_ipl_50,float64,0,2025-04-19 03:11:57.605878
batting_ipl_100,float64,0,2025-04-19 03:11:57.605878
batting_ipl_200,float64,0,2025-04-19 03:11:57.605878
bowling_ipl_m,float64,0,2025-04-19 03:11:57.605878
bowling_ipl_inn,float64,0,2025-04-19 03:11:57.605878
bowling_ipl_b,float64,0,2025-04-19 03:11:57.605878
bowling_ipl_runs,float64,0,2025-04-19 03:11:57.605878
bowling_ipl_wkts,float64,0,2025-04-19 03:11:57.605878
bowling_ipl_avg,float64,0,2025-04-19 03:11:57.605878
bowling_ipl_econ,float64,0,2025-04-19 03:11:57.605878
bowling_ipl_sr,float64,0,2025-04-19 03:11:57.605878
bowling_ipl_bbi,object,0,2025-04-19 03:11:57.605878
bowling_ipl_bbm,object,0,2025-04-19 03:11:57.605878
bowling_ipl_5w,float64,0,2025-04-19 03:11:57.605878
bowling_ipl_10w,float64,0,2025-04-19 03:11:57.605878
batter,object,198,2025-04-19 03:11:57.605878
avg_dominance,float64,198,2025-04-19 03:11:57.605878
max_boundary_threat,float64,198,2025-04-19 03:11:57.605878
mean_survival_rate,float64,198,2025-04-19 03:11:57.605878
boundary_ratio,float64,0,2025-04-19 03:11:57.605878
economy_impact,float64,0,2025-04-19 03:11:57.605878
recent_form,float64,0,2025-04-19 03:11:57.605878
